                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2777,                 1.0516,                 1.0684,                 0.5951,                0.66607,                0.65474,                  0.402,                 1.3866,                 1.2352,                 1.1266,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.2946,                 1.0583,                 1.0688,                0.51714,                0.62769,                0.53637,                0.33923,                 1.2936,                 1.3827,                 1.0792,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.2957,                 1.0586,                 1.0786,                 0.5458,                0.58839,                 0.5729,                0.32671,                 1.4418,                 1.4154,                 1.1969,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.3278,                 1.0842,                 1.1131,                0.56269,                0.61607,                0.62881,                0.36539,                 1.4208,                 1.2818,                 1.1885,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.2799,                 1.0564,                 1.0687,                0.55278,                 0.3247,                0.35676,                0.19443,                 1.6632,                 2.3506,                 1.3613,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.2959,                 1.0316,                 1.0768,                0.57335,                0.58363,                0.56861,                0.34062,                 1.4185,                 1.5792,                  1.139,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.2918,                 1.0094,                 1.0873,                0.57514,                 0.6612,                0.64532,                0.40212,                 1.3284,                  1.244,                 1.0852,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.2769,                0.99372,                 1.0541,                0.59509,                0.71548,                 0.6754,                0.40557,                 1.3433,                 1.2103,                 1.0881,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.3262,                 1.0435,                 1.0799,                0.62037,                0.56074,                0.63309,                0.38246,                 1.3978,                  1.299,                 1.1159,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.3037,                  1.019,                 1.0759,                0.63166,                0.59499,                0.62435,                0.37907,                 1.3493,                 1.3204,                 1.0905,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.2682,                0.95851,                  1.045,                 0.5808,                0.62946,                0.59527,                0.36774,                 1.3179,                 1.3434,                 1.0575,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2604,                 1.0022,                 1.0494,                0.55805,                0.69048,                0.61615,                0.36851,                 1.3333,                 1.2667,                 1.0545,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.2113,                0.95599,                  1.041,                0.30976,                 0.4247,                0.31476,                0.18232,                 1.5438,                 2.0021,                 1.2288,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.2477,                0.94761,                 1.0451,                0.43643,                0.46514,                 0.4496,                0.24985,                  1.434,                 2.0534,                 1.1637,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.2327,                0.91073,                 1.0467,                0.44669,                0.59762,                0.56274,                0.33901,                 1.4039,                 1.7451,                 1.1163,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.2261,                0.89646,                  1.037,                0.44177,                0.57339,                0.52102,                0.31267,                 1.3975,                 1.8651,                 1.1096,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.2074,                0.89149,                 1.0356,                0.68022,                0.51219,                0.54983,                0.33101,                 1.3662,                 1.6972,                 1.0829,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.2141,                0.90865,                 1.0282,                0.53268,                0.63019,                0.50112,                0.29427,                 1.3939,                 1.9206,                 1.0964,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.2263,                0.93245,                 1.0364,                 0.4905,                0.74535,                0.59408,                0.35897,                 1.3356,                  1.265,                 1.0612,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2216,                0.92027,                 1.0413,                0.50403,                0.73929,                0.57678,                0.36194,                  1.304,                  1.244,                  1.056,             0.00082533,             0.00082533,             0.00082533
                     54,                  1.202,                0.89364,                 1.0273,                0.57181,                0.63899,                0.57923,                0.35143,                 1.3362,                 1.2908,                 1.0692,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.2155,                0.91553,                  1.043,                0.53233,                0.66852,                0.60815,                0.37563,                 1.3567,                 1.2252,                 1.0874,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.2295,                0.90742,                 1.0354,                0.56378,                0.70774,                0.66001,                0.40812,                   1.31,                 1.1704,                 1.0505,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.2169,                0.88656,                 1.0313,                0.56882,                0.72164,                0.66073,                0.40732,                  1.319,                   1.15,                 1.0477,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.2299,                0.89307,                 1.0393,                0.58282,                 0.7239,                0.62783,                0.37213,                 1.2979,                 1.1654,                 1.0634,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.2142,                0.90302,                 1.0358,                0.62339,                0.65042,                0.66269,                0.41117,                 1.2893,                 1.1362,                  1.075,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.2002,                0.87343,                 1.0318,                0.66503,                0.65923,                0.63545,                0.38746,                  1.327,                 1.2225,                 1.1252,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.1802,                0.89566,                 1.0075,                0.65374,                0.66248,                0.60986,                0.38091,                 1.3145,                  1.305,                  1.097,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.2187,                0.89063,                 1.0439,                0.62224,                0.64298,                0.60524,                0.38157,                 1.3459,                 1.3014,                  1.092,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.2378,                0.85134,                 1.0197,                0.62914,                 0.6625,                0.66099,                0.41761,                 1.3445,                 1.2379,                  1.068,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.1997,                0.87863,                 1.0339,                 0.6062,                0.68304,                  0.667,                0.42109,                 1.2949,                 1.1859,                  1.062,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.2083,                0.86036,                 1.0332,                0.59976,                0.64093,                0.65569,                0.41339,                  1.294,                 1.2045,                 1.0609,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.1656,                0.85084,                 1.0075,                0.64854,                0.59435,                0.64694,                0.40427,                 1.3094,                 1.2318,                 1.0585,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.1774,                0.83549,                 1.0212,                0.57381,                0.63583,                0.57721,                0.36675,                 1.2903,                 1.4373,                 1.0703,             0.00059429,             0.00059429,             0.00059429
                     68,                  1.153,                0.81566,                 1.0171,                0.52531,                0.64342,                0.52868,                0.30741,                 1.3538,                    1.7,                 1.0759,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.1685,                0.82396,                  1.011,                0.52745,                 0.6494,                0.53587,                0.30024,                 1.3755,                 1.7156,                  1.073,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.1379,                0.79945,                 1.0002,                0.57066,                0.62381,                0.57529,                0.35051,                 1.3437,                 1.5394,                 1.0697,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.1189,                0.79141,                 1.0031,                0.59063,                0.77402,                0.67646,                0.43068,                 1.2583,                 1.0946,                 1.0398,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.1196,                0.81372,                0.99303,                0.55258,                0.78071,                0.66245,                0.41503,                 1.2662,                 1.1633,                 1.0417,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.1513,                0.84565,                 1.0147,                0.57164,                0.74315,                0.63802,                0.40273,                 1.2825,                 1.1954,                 1.0474,             0.00049527,             0.00049527,             0.00049527
                     74,                  1.132,                0.81144,                0.99892,                0.60508,                0.68036,                0.63574,                0.39376,                 1.2874,                 1.1947,                 1.0381,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.1187,                0.78407,                0.98228,                0.59428,                0.69613,                0.68568,                0.43345,                  1.234,                 1.0853,                 1.0206,             0.00046226,             0.00046226,             0.00046226
                     76,                  1.133,                0.80586,                0.98425,                0.67104,                0.61101,                0.66179,                  0.408,                 1.2628,                  1.083,                 1.0473,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.0945,                0.77087,                 0.9787,                0.65705,                0.63006,                0.64603,                0.39781,                 1.2832,                 1.1017,                 1.0567,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.1047,                0.77875,                0.97898,                0.62114,                0.63178,                0.60885,                0.38112,                 1.2995,                 1.1676,                 1.0592,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.1193,                0.76779,                0.98242,                0.55998,                0.69494,                0.63259,                0.40925,                 1.2775,                 1.1598,                 1.0516,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.0888,                0.74705,                0.98526,                0.68004,                 0.6253,                0.65248,                0.41977,                 1.2764,                 1.1394,                  1.049,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.0822,                0.75751,                0.96659,                0.61482,                0.74304,                0.66281,                0.42887,                 1.2726,                  1.119,                 1.0486,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.0857,                0.74151,                0.97338,                 0.6189,                0.73899,                0.67509,                 0.4342,                 1.2728,                 1.0833,                 1.0485,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.0876,                0.75684,                0.97023,                0.61817,                0.75149,                0.68839,                0.43885,                 1.2703,                 1.0563,                  1.045,             0.00033023,             0.00033023,             0.00033023
                     84,                  1.072,                0.72806,                0.95834,                0.62591,                0.71518,                0.68909,                0.43697,                 1.2721,                 1.0745,                 1.0502,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.0445,                0.71713,                0.96618,                0.58104,                0.72917,                0.67832,                0.43193,                 1.2616,                 1.0856,                 1.0458,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.0861,                0.74877,                0.97309,                0.63611,                0.65395,                0.67622,                0.42747,                 1.2497,                 1.1292,                 1.0336,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.0404,                0.71915,                0.96106,                0.61736,                0.67633,                0.68693,                 0.4302,                 1.2477,                 1.1428,                 1.0388,             0.00026422,             0.00026422,             0.00026422
                     88,                  1.068,                0.73865,                 0.9744,                0.60701,                0.72287,                0.68959,                0.43923,                  1.235,                 1.1215,                 1.0317,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.0549,                0.72312,                0.96955,                0.61166,                0.72208,                0.68132,                0.43141,                 1.2473,                 1.1184,                  1.032,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.0148,                0.71389,                0.96016,                0.62302,                0.66815,                 0.6435,                0.40551,                 1.2653,                 1.1646,                 1.0487,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.0454,                0.73498,                0.98037,                0.62337,                0.65539,                 0.6454,                0.41244,                 1.2346,                 1.1704,                 1.0396,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.0387,                0.71908,                  0.971,                0.59783,                0.70849,                0.64903,                0.41623,                 1.2272,                 1.1986,                 1.0336,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.0227,                0.71022,                 0.9571,                0.59539,                0.71225,                0.65042,                0.41627,                 1.2293,                  1.212,                 1.0363,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.0135,                 0.7035,                0.96005,                0.59866,                0.69528,                0.63933,                0.40278,                 1.2688,                 1.2295,                  1.066,              0.0001487,              0.0001487,              0.0001487
                     95,                0.99663,                0.69157,                0.95358,                0.60048,                0.67627,                0.63725,                0.39201,                 1.2989,                 1.2172,                 1.0905,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.0092,                 0.6961,                0.94827,                0.60466,                0.70744,                0.64777,                0.40402,                 1.2821,                 1.1709,                 1.0832,             0.00011569,             0.00011569,             0.00011569
                     97,                0.98841,                0.66961,                0.95327,                0.63013,                0.71219,                0.66027,                0.41297,                 1.2596,                 1.1521,                 1.0717,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.0308,                0.70482,                0.96497,                0.62072,                0.69167,                0.67641,                0.42942,                  1.238,                 1.1272,                 1.0598,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.99813,                 0.6792,                0.94942,                0.59071,                0.74081,                0.68478,                0.43543,                 1.2272,                 1.1171,                 1.0495,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.0143,                0.67278,                0.95677,                0.59348,                0.74685,                0.68485,                0.43725,                 1.2339,                 1.1206,                 1.0514,             4.9677e-05,             4.9677e-05,             4.9677e-05
